Indicator,2017,Country ISO3,id
Poor Public Health,1.5,ETH,3288.0
Restrictive Labor Regulations,27.3,FIN,3289.0
Tax Rates,21.5,FIN,3282.0
Tax Regulations,11.7,FIN,3283.0
Inefficient Government Bureaucracy,9.8,FIN,3279.0
Insufficient Capacity to Innovate,8.9,FIN,
Access to Financing,7.7,FIN,3275.0
Policy Instability,6.1,FIN,3280.0
Government Instability/Coups,2.0,FIN,3286.0
Inadequately Educated Workforce,1.7,FIN,3278.0
Foreign Currency Regulations,1.2,FIN,3285.0
Inadequate Supply of Infrastructure,0.8,FIN,3277.0
Poor Work Ethic in Labor Force,0.6,FIN,3281.0
Poor Public Health,0.3,FIN,3288.0
Inflation,0.3,FIN,3287.0
Crime and Theft,0.0,FIN,3284.0
Corruption,0.0,FIN,3276.0
Tax Rates,19.6,FRA,3282.0
Restrictive Labor Regulations,19.1,FRA,3289.0
Tax Regulations,17.6,FRA,3283.0
Inefficient Government Bureaucracy,11.8,FRA,3279.0
Policy Instability,7.7,FRA,3280.0
Access to Financing,6.5,FRA,3275.0
Insufficient Capacity to Innovate,5.9,FRA,
Inadequately Educated Workforce,3.1,FRA,3278.0
Poor Work Ethic in Labor Force,2.6,FRA,3281.0
Government Instability/Coups,2.1,FRA,3286.0
Corruption,1.8,FRA,3276.0
Foreign Currency Regulations,1.1,FRA,3285.0
Inadequate Supply of Infrastructure,0.9,FRA,3277.0
Inflation,0.2,FRA,3287.0
Poor Public Health,0.0,FRA,3288.0
Crime and Theft,0.0,FRA,3284.0
Tax Rates,17.9,GMB,3282.0
Foreign Currency Regulations,17.0,GMB,3285.0
Access to Financing,16.2,GMB,3275.0
Inflation,7.9,GMB,3287.0
Inefficient Government Bureaucracy,6.9,GMB,3279.0
Government Instability/Coups,6.3,GMB,3286.0
Tax Regulations,5.3,GMB,3283.0
Corruption,4.7,GMB,3276.0
Poor Work Ethic in Labor Force,4.6,GMB,3281.0
Policy Instability,3.0,GMB,3280.0
Inadequate Supply of Infrastructure,3.0,GMB,3277.0
Insufficient Capacity to Innovate,2.6,GMB,
Inadequately Educated Workforce,2.2,GMB,3278.0
Restrictive Labor Regulations,2.1,GMB,3289.0
Poor Public Health,0.4,GMB,3288.0
Crime and Theft,0.0,GMB,3284.0
Inadequately Educated Workforce,17.3,GEO,3278.0
Access to Financing,12.0,GEO,3275.0
Inflation,11.0,GEO,3287.0
Poor Work Ethic in Labor Force,9.7,GEO,3281.0
Insufficient Capacity to Innovate,9.7,GEO,
Inefficient Government Bureaucracy,9.2,GEO,3279.0
Inadequate Supply of Infrastructure,7.3,GEO,3277.0
Policy Instability,6.5,GEO,3280.0
Government Instability/Coups,6.2,GEO,3286.0
Tax Rates,3.8,GEO,3282.0
Tax Regulations,1.8,GEO,3283.0
Foreign Currency Regulations,1.8,GEO,3285.0
Corruption,1.7,GEO,3276.0
Poor Public Health,1.3,GEO,3288.0
Restrictive Labor Regulations,0.8,GEO,3289.0
Crime and Theft,0.0,GEO,3284.0
Tax Rates,12.1,DEU,3282.0
Tax Regulations,10.7,DEU,3283.0
Restrictive Labor Regulations,10.5,DEU,3289.0
Inefficient Government Bureaucracy,9.0,DEU,3279.0
Inadequately Educated Workforce,8.1,DEU,3278.0
Insufficient Capacity to Innovate,6.4,DEU,
Poor Work Ethic in Labor Force,5.8,DEU,3281.0
Inadequate Supply of Infrastructure,5.4,DEU,3277.0
Policy Instability,4.8,DEU,3280.0
Government Instability/Coups,4.7,DEU,3286.0
Inflation,4.5,DEU,3287.0
Foreign Currency Regulations,4.0,DEU,3285.0
Access to Financing,3.9,DEU,3275.0
Crime and Theft,3.8,DEU,3284.0
Corruption,3.2,DEU,3276.0
Poor Public Health,3.1,DEU,3288.0
Access to Financing,16.3,GHA,3275.0
Tax Rates,15.3,GHA,3282.0
Corruption,12.3,GHA,3276.0
Inadequate Supply of Infrastructure,9.1,GHA,3277.0
Inflation,7.8,GHA,3287.0
Foreign Currency Regulations,5.8,GHA,3285.0
Tax Regulations,5.5,GHA,3283.0
Policy Instability,5.1,GHA,3280.0
Poor Work Ethic in Labor Force,4.7,GHA,3281.0
Poor Public Health,3.9,GHA,3288.0
Insufficient Capacity to Innovate,3.8,GHA,
Inefficient Government Bureaucracy,3.5,GHA,3279.0
Government Instability/Coups,2.8,GHA,3286.0
Inadequately Educated Workforce,1.7,GHA,3278.0
Restrictive Labor Regulations,1.3,GHA,3289.0
Crime and Theft,1.0,GHA,3284.0
Tax Rates,20.3,GRC,3282.0
Inefficient Government Bureaucracy,18.1,GRC,3279.0
Tax Regulations,14.1,GRC,3283.0
Policy Instability,13.8,GRC,3280.0
Government Instability/Coups,10.8,GRC,3286.0
Access to Financing,10.0,GRC,3275.0
Corruption,5.5,GRC,3276.0
Inadequate Supply of Infrastructure,2.0,GRC,3277.0
Insufficient Capacity to Innovate,1.4,GRC,
Restrictive Labor Regulations,1.2,GRC,3289.0
Poor Work Ethic in Labor Force,0.8,GRC,3281.0
Poor Public Health,0.7,GRC,3288.0
Inadequately Educated Workforce,0.5,GRC,3278.0
Foreign Currency Regulations,0.5,GRC,3285.0
Crime and Theft,0.1,GRC,3284.0
Inflation,0.0,GRC,3287.0
Crime and Theft,14.0,GTM,3284.0
Corruption,13.9,GTM,3276.0
Inefficient Government Bureaucracy,12.6,GTM,3279.0
Inadequate Supply of Infrastructure,12.5,GTM,3277.0
Policy Instability,9.6,GTM,3280.0
Government Instability/Coups,8.6,GTM,3286.0
Inadequately Educated Workforce,6.2,GTM,3278.0
Tax Regulations,5.7,GTM,3283.0
Access to Financing,4.9,GTM,3275.0
Restrictive Labor Regulations,2.6,GTM,3289.0
Tax Rates,2.4,GTM,3282.0
Poor Work Ethic in Labor Force,2.3,GTM,3281.0
Insufficient Capacity to Innovate,2.3,GTM,
Poor Public Health,1.2,GTM,3288.0
Foreign Currency Regulations,0.8,GTM,3285.0
Inflation,0.4,GTM,3287.0
Corruption,22.8,GIN,3276.0
Access to Financing,12.1,GIN,3275.0
Inadequately Educated Workforce,10.8,GIN,3278.0
Inadequate Supply of Infrastructure,10.4,GIN,3277.0
Crime and Theft,10.1,GIN,3284.0
Government Instability/Coups,9.4,GIN,3286.0
Poor Work Ethic in Labor Force,5.1,GIN,3281.0
Policy Instability,4.3,GIN,3280.0
Poor Public Health,2.9,GIN,3288.0
Foreign Currency Regulations,2.6,GIN,3285.0
Inflation,2.4,GIN,3287.0
Inefficient Government Bureaucracy,2.2,GIN,3279.0
Restrictive Labor Regulations,1.8,GIN,3289.0
Tax Rates,1.6,GIN,3282.0
Insufficient Capacity to Innovate,1.6,GIN,
Tax Regulations,0.0,GIN,3283.0
Access to Financing,23.4,HTI,3275.0
Government Instability/Coups,13.1,HTI,3286.0
Policy Instability,11.0,HTI,3280.0
Inadequate Supply of Infrastructure,10.5,HTI,3277.0
Inflation,9.0,HTI,3287.0
Corruption,7.2,HTI,3276.0
Crime and Theft,4.9,HTI,3284.0
Inadequately Educated Workforce,4.4,HTI,3278.0
Inefficient Government Bureaucracy,3.9,HTI,3279.0
Foreign Currency Regulations,2.9,HTI,3285.0
Insufficient Capacity to Innovate,2.6,HTI,
Tax Rates,2.2,HTI,3282.0
Poor Public Health,1.8,HTI,3288.0
Poor Work Ethic in Labor Force,1.6,HTI,3281.0
Tax Regulations,1.1,HTI,3283.0
Restrictive Labor Regulations,0.5,HTI,3289.0
Tax Rates,15.5,HND,3282.0
Crime and Theft,13.9,HND,3284.0
Inefficient Government Bureaucracy,13.6,HND,3279.0
Corruption,11.5,HND,3276.0
Tax Regulations,9.7,HND,3283.0
Policy Instability,9.2,HND,3280.0
Restrictive Labor Regulations,5.0,HND,3289.0
Access to Financing,4.6,HND,3275.0
Inadequately Educated Workforce,4.2,HND,3278.0
Inadequate Supply of Infrastructure,3.3,HND,3277.0
Government Instability/Coups,2.4,HND,3286.0
Insufficient Capacity to Innovate,2.4,HND,
Foreign Currency Regulations,1.5,HND,3285.0
Inflation,1.4,HND,3287.0
Poor Work Ethic in Labor Force,1.1,HND,3281.0
Poor Public Health,0.9,HND,3288.0
Insufficient Capacity to Innovate,22.4,HKG,
Inefficient Government Bureaucracy,16.3,HKG,3279.0
Inflation,12.4,HKG,3287.0
Inadequately Educated Workforce,10.0,HKG,3278.0
Restrictive Labor Regulations,8.3,HKG,3289.0
Access to Financing,6.5,HKG,3275.0
Poor Work Ethic in Labor Force,5.4,HKG,3281.0
Policy Instability,5.0,HKG,3280.0
Inadequate Supply of Infrastructure,4.4,HKG,3277.0
Government Instability/Coups,2.9,HKG,3286.0
Foreign Currency Regulations,1.9,HKG,3285.0
Tax Rates,1.6,HKG,3282.0
Poor Public Health,1.4,HKG,3288.0
Corruption,1.2,HKG,3276.0
Tax Regulations,0.3,HKG,3283.0
Crime and Theft,0.0,HKG,3284.0
Inadequately Educated Workforce,15.2,HUN,3278.0
Corruption,14.9,HUN,3276.0
Tax Rates,10.4,HUN,3282.0
Tax Regulations,9.8,HUN,3283.0
Access to Financing,7.9,HUN,3275.0
Policy Instability,7.7,HUN,3280.0
Poor Work Ethic in Labor Force,7.2,HUN,3281.0
Inefficient Government Bureaucracy,6.3,HUN,3279.0
Insufficient Capacity to Innovate,5.7,HUN,
Poor Public Health,4.3,HUN,3288.0
Restrictive Labor Regulations,3.2,HUN,3289.0
Inadequate Supply of Infrastructure,3.0,HUN,3277.0
Crime and Theft,2.0,HUN,3284.0
Inflation,1.0,HUN,3287.0
Foreign Currency Regulations,0.7,HUN,3285.0
Government Instability/Coups,0.4,HUN,3286.0
Foreign Currency Regulations,17.6,ISL,3285.0
Tax Rates,14.3,ISL,3282.0
Inefficient Government Bureaucracy,12.3,ISL,3279.0
Inflation,12.0,ISL,3287.0
Government Instability/Coups,8.8,ISL,3286.0
Policy Instability,7.0,ISL,3280.0
Insufficient Capacity to Innovate,6.1,ISL,
Access to Financing,5.1,ISL,3275.0
Tax Regulations,4.6,ISL,3283.0
Inadequately Educated Workforce,3.8,ISL,3278.0
Restrictive Labor Regulations,3.1,ISL,3289.0
Inadequate Supply of Infrastructure,2.9,ISL,3277.0
Corruption,1.5,ISL,3276.0
Poor Work Ethic in Labor Force,0.6,ISL,3281.0
Poor Public Health,0.3,ISL,3288.0
Crime and Theft,0.0,ISL,3284.0
Corruption,9.2,IND,3276.0
Access to Financing,8.5,IND,3275.0
Tax Rates,7.9,IND,3282.0
Inadequate Supply of Infrastructure,7.0,IND,3277.0
Poor Work Ethic in Labor Force,7.0,IND,3281.0
Inadequately Educated Workforce,6.6,IND,3278.0
Government Instability/Coups,6.6,IND,3286.0
Inflation,6.4,IND,3287.0
Inefficient Government Bureaucracy,5.9,IND,3279.0
Foreign Currency Regulations,5.7,IND,3285.0
Restrictive Labor Regulations,5.5,IND,3289.0
Crime and Theft,4.9,IND,3284.0
Poor Public Health,4.9,IND,3288.0
Tax Regulations,4.8,IND,3283.0
Insufficient Capacity to Innovate,4.7,IND,
Policy Instability,4.3,IND,3280.0
Corruption,13.8,IDN,3276.0
Inefficient Government Bureaucracy,11.1,IDN,3279.0
Access to Financing,9.2,IDN,3275.0
Inadequate Supply of Infrastructure,8.8,IDN,3277.0
Policy Instability,8.6,IDN,3280.0
Government Instability/Coups,6.5,IDN,3286.0
Tax Rates,6.4,IDN,3282.0
Poor Work Ethic in Labor Force,5.8,IDN,3281.0
Tax Regulations,5.2,IDN,3283.0
Inflation,4.7,IDN,3287.0
Inadequately Educated Workforce,4.3,IDN,3278.0
Crime and Theft,4.0,IDN,3284.0
Restrictive Labor Regulations,4.0,IDN,3289.0
Foreign Currency Regulations,3.3,IDN,3285.0
Insufficient Capacity to Innovate,2.5,IDN,
Poor Public Health,1.8,IDN,3288.0
Access to Financing,14.6,IRN,3275.0
Inefficient Government Bureaucracy,10.9,IRN,3279.0
Policy Instability,10.4,IRN,3280.0
Inadequate Supply of Infrastructure,9.9,IRN,3277.0
Inflation,9.6,IRN,3287.0
Corruption,9.1,IRN,3276.0
Restrictive Labor Regulations,6.4,IRN,3289.0
Foreign Currency Regulations,4.8,IRN,3285.0
Tax Rates,4.7,IRN,3282.0
Poor Work Ethic in Labor Force,4.0,IRN,3281.0
Insufficient Capacity to Innovate,3.7,IRN,
Tax Regulations,3.6,IRN,3283.0
Inadequately Educated Workforce,3.6,IRN,3278.0
Government Instability/Coups,2.6,IRN,3286.0
Crime and Theft,1.5,IRN,3284.0
Poor Public Health,0.6,IRN,3288.0
Inadequate Supply of Infrastructure,17.7,IRL,3277.0
Tax Rates,16.7,IRL,3282.0
Inefficient Government Bureaucracy,11.9,IRL,3279.0
Access to Financing,9.7,IRL,3275.0
Government Instability/Coups,8.8,IRL,3286.0
Insufficient Capacity to Innovate,7.5,IRL,
Restrictive Labor Regulations,7.0,IRL,3289.0
Policy Instability,4.3,IRL,3280.0
Tax Regulations,3.6,IRL,3283.0
Inadequately Educated Workforce,3.6,IRL,3278.0
Poor Public Health,2.9,IRL,3288.0
Foreign Currency Regulations,2.5,IRL,3285.0
Inflation,2.1,IRL,3287.0
Poor Work Ethic in Labor Force,1.2,IRL,3281.0
Crime and Theft,0.7,IRL,3284.0
Corruption,0.0,IRL,3276.0
Inefficient Government Bureaucracy,21.6,ISR,3279.0
Tax Rates,15.4,ISR,3282.0
Inadequately Educated Workforce,10.1,ISR,3278.0
Restrictive Labor Regulations,8.6,ISR,3289.0
Tax Regulations,7.8,ISR,3283.0
Policy Instability,7.6,ISR,3280.0
Access to Financing,5.7,ISR,3275.0
Poor Work Ethic in Labor Force,5.2,ISR,3281.0
Government Instability/Coups,4.4,ISR,3286.0
Inadequate Supply of Infrastructure,4.3,ISR,3277.0
Corruption,4.3,ISR,3276.0
Foreign Currency Regulations,3.1,ISR,3285.0
Insufficient Capacity to Innovate,1.5,ISR,
Inflation,0.4,ISR,3287.0
Poor Public Health,0.0,ISR,3288.0
Crime and Theft,0.0,ISR,3284.0
Inefficient Government Bureaucracy,17.6,ITA,3279.0
Tax Rates,17.3,ITA,3282.0
Restrictive Labor Regulations,11.0,ITA,3289.0
Tax Regulations,10.5,ITA,3283.0
Access to Financing,9.6,ITA,3275.0
Policy Instability,8.2,ITA,3280.0
Inadequate Supply of Infrastructure,5.5,ITA,3277.0
Insufficient Capacity to Innovate,5.3,ITA,
Corruption,4.6,ITA,3276.0
Government Instability/Coups,3.8,ITA,3286.0
Inadequately Educated Workforce,3.4,ITA,3278.0
Poor Work Ethic in Labor Force,1.6,ITA,3281.0
Crime and Theft,1.3,ITA,3284.0
Poor Public Health,0.1,ITA,3288.0
Inflation,0.0,ITA,3287.0
Foreign Currency Regulations,0.0,ITA,3285.0
Crime and Theft,15.5,JAM,3284.0
Tax Rates,12.6,JAM,3282.0
Corruption,9.7,JAM,3276.0
Access to Financing,9.6,JAM,3275.0
Inefficient Government Bureaucracy,9.2,JAM,3279.0
Poor Work Ethic in Labor Force,8.6,JAM,3281.0
Inflation,6.4,JAM,3287.0
Inadequately Educated Workforce,6.4,JAM,3278.0
Tax Regulations,5.2,JAM,3283.0
Inadequate Supply of Infrastructure,4.3,JAM,3277.0
Insufficient Capacity to Innovate,4.2,JAM,
Foreign Currency Regulations,3.0,JAM,3285.0
Government Instability/Coups,1.7,JAM,3286.0
Policy Instability,1.5,JAM,3280.0
Restrictive Labor Regulations,1.4,JAM,3289.0
Poor Public Health,1.0,JAM,3288.0
Restrictive Labor Regulations,21.1,JPN,3289.0
Tax Rates,20.8,JPN,3282.0
Insufficient Capacity to Innovate,19.0,JPN,
Inefficient Government Bureaucracy,13.5,JPN,3279.0
Tax Regulations,9.3,JPN,3283.0
Policy Instability,6.2,JPN,3280.0
Inadequately Educated Workforce,3.3,JPN,3278.0
Access to Financing,2.7,JPN,3275.0
Inadequate Supply of Infrastructure,1.5,JPN,3277.0
Poor Work Ethic in Labor Force,1.2,JPN,3281.0
Government Instability/Coups,1.1,JPN,3286.0
Foreign Currency Regulations,0.2,JPN,3285.0
Poor Public Health,0.0,JPN,3288.0
Inflation,0.0,JPN,3287.0
Crime and Theft,0.0,JPN,3284.0
Corruption,0.0,JPN,3276.0
Tax Rates,13.9,JOR,3282.0
Access to Financing,12.2,JOR,3275.0
Policy Instability,9.8,JOR,3280.0
Inefficient Government Bureaucracy,9.2,JOR,3279.0
Inadequately Educated Workforce,7.9,JOR,3278.0
Inadequate Supply of Infrastructure,7.2,JOR,3277.0
Tax Regulations,7.1,JOR,3283.0
Restrictive Labor Regulations,7.0,JOR,3289.0
Poor Work Ethic in Labor Force,6.4,JOR,3281.0
Corruption,6.2,JOR,3276.0
Inflation,4.4,JOR,3287.0
Insufficient Capacity to Innovate,2.7,JOR,
Government Instability/Coups,2.5,JOR,3286.0
Crime and Theft,1.8,JOR,3284.0
Foreign Currency Regulations,1.6,JOR,3285.0
Poor Public Health,0.2,JOR,3288.0
Access to Financing,14.5,KAZ,3275.0
Corruption,13.8,KAZ,3276.0
Inadequately Educated Workforce,11.9,KAZ,3278.0
Inflation,9.7,KAZ,3287.0
Tax Regulations,8.7,KAZ,3283.0
Inefficient Government Bureaucracy,8.7,KAZ,3279.0
Poor Work Ethic in Labor Force,6.9,KAZ,3281.0
Tax Rates,6.9,KAZ,3282.0
Insufficient Capacity to Innovate,5.3,KAZ,
Foreign Currency Regulations,5.0,KAZ,3285.0
Inadequate Supply of Infrastructure,3.3,KAZ,3277.0
Policy Instability,1.6,KAZ,3280.0
Government Instability/Coups,1.5,KAZ,3286.0
Crime and Theft,1.5,KAZ,3284.0
Restrictive Labor Regulations,0.5,KAZ,3289.0
Poor Public Health,0.1,KAZ,3288.0
Corruption,19.1,KEN,3276.0
Access to Financing,15.5,KEN,3275.0
Tax Rates,13.7,KEN,3282.0
Inadequate Supply of Infrastructure,9.3,KEN,3277.0
Inflation,7.3,KEN,3287.0
Crime and Theft,6.1,KEN,3284.0
Inefficient Government Bureaucracy,5.4,KEN,3279.0
Tax Regulations,4.4,KEN,3283.0
Policy Instability,4.0,KEN,3280.0
Insufficient Capacity to Innovate,3.4,KEN,
Poor Work Ethic in Labor Force,2.9,KEN,3281.0
Foreign Currency Regulations,2.4,KEN,3285.0
Inadequately Educated Workforce,2.3,KEN,3278.0
Government Instability/Coups,2.0,KEN,3286.0
Restrictive Labor Regulations,1.5,KEN,3289.0
Poor Public Health,0.8,KEN,3288.0
Policy Instability,15.5,KOR,3280.0
Access to Financing,13.3,KOR,3275.0
Inefficient Government Bureaucracy,12.1,KOR,3279.0
Insufficient Capacity to Innovate,9.8,KOR,
Restrictive Labor Regulations,8.7,KOR,3289.0
Tax Rates,6.9,KOR,3282.0
Government Instability/Coups,6.5,KOR,3286.0
Tax Regulations,5.8,KOR,3283.0
Poor Work Ethic in Labor Force,5.7,KOR,3281.0
Inadequate Supply of Infrastructure,4.7,KOR,3277.0
Corruption,4.3,KOR,3276.0
Inadequately Educated Workforce,3.9,KOR,3278.0
Inflation,1.3,KOR,3287.0
Foreign Currency Regulations,1.3,KOR,3285.0
Poor Public Health,0.1,KOR,3288.0
Crime and Theft,0.0,KOR,3284.0
Inefficient Government Bureaucracy,21.7,KWT,3279.0
Corruption,12.0,KWT,3276.0
Restrictive Labor Regulations,11.5,KWT,3289.0
Poor Work Ethic in Labor Force,8.7,KWT,3281.0
Policy Instability,8.4,KWT,3280.0
Inadequately Educated Workforce,8.2,KWT,3278.0
Access to Financing,8.1,KWT,3275.0
Inadequate Supply of Infrastructure,6.7,KWT,3277.0
Government Instability/Coups,5.5,KWT,3286.0
Insufficient Capacity to Innovate,4.9,KWT,
Tax Regulations,1.3,KWT,3283.0
Inflation,0.9,KWT,3287.0
Tax Rates,0.6,KWT,3282.0
Foreign Currency Regulations,0.6,KWT,3285.0
Crime and Theft,0.4,KWT,3284.0
Poor Public Health,0.2,KWT,3288.0
Corruption,22.4,KGZ,3276.0
Policy Instability,11.2,KGZ,3280.0
Government Instability/Coups,10.2,KGZ,3286.0
Access to Financing,8.0,KGZ,3275.0
Tax Regulations,6.9,KGZ,3283.0
Inefficient Government Bureaucracy,6.4,KGZ,3279.0
Inflation,5.9,KGZ,3287.0
Tax Rates,5.8,KGZ,3282.0
Inadequate Supply of Infrastructure,5.7,KGZ,3277.0
Inadequately Educated Workforce,5.3,KGZ,3278.0
Crime and Theft,4.7,KGZ,3284.0
Insufficient Capacity to Innovate,3.6,KGZ,
Poor Work Ethic in Labor Force,2.6,KGZ,3281.0
Restrictive Labor Regulations,0.9,KGZ,3289.0
Foreign Currency Regulations,0.2,KGZ,3285.0
Poor Public Health,0.2,KGZ,3288.0
Inadequately Educated Workforce,14.1,LAO,3278.0
Tax Rates,10.5,LAO,3282.0
Access to Financing,10.1,LAO,3275.0
Tax Regulations,9.4,LAO,3283.0
Inadequate Supply of Infrastructure,7.5,LAO,3277.0
Corruption,6.9,LAO,3276.0
Poor Work Ethic in Labor Force,6.8,LAO,3281.0
Foreign Currency Regulations,5.8,LAO,3285.0
Inflation,5.5,LAO,3287.0
Inefficient Government Bureaucracy,4.6,LAO,3279.0
Restrictive Labor Regulations,4.3,LAO,3289.0
Insufficient Capacity to Innovate,4.2,LAO,
Poor Public Health,4.1,LAO,3288.0
Policy Instability,3.3,LAO,3280.0
Government Instability/Coups,1.5,LAO,3286.0
Crime and Theft,1.5,LAO,3284.0
Inefficient Government Bureaucracy,18.2,LVA,3279.0
Tax Rates,17.9,LVA,3282.0
Tax Regulations,13.0,LVA,3283.0
Corruption,8.0,LVA,3276.0
Inadequately Educated Workforce,7.5,LVA,3278.0
Policy Instability,7.2,LVA,3280.0
Access to Financing,7.1,LVA,3275.0
Poor Work Ethic in Labor Force,4.6,LVA,3281.0
Restrictive Labor Regulations,4.4,LVA,3289.0
Government Instability/Coups,3.5,LVA,3286.0
Insufficient Capacity to Innovate,2.8,LVA,
Inadequate Supply of Infrastructure,2.6,LVA,3277.0
Poor Public Health,1.8,LVA,3288.0
Crime and Theft,0.8,LVA,3284.0
Inflation,0.5,LVA,3287.0
Foreign Currency Regulations,0.0,LVA,3285.0
Government Instability/Coups,21.2,LBN,3286.0
Corruption,14.5,LBN,3276.0
Inadequate Supply of Infrastructure,13.9,LBN,3277.0
Inefficient Government Bureaucracy,10.3,LBN,3279.0
Policy Instability,8.9,LBN,3280.0
Inflation,5.5,LBN,3287.0
Tax Rates,4.5,LBN,3282.0
Poor Work Ethic in Labor Force,3.9,LBN,3281.0
Restrictive Labor Regulations,3.5,LBN,3289.0
Access to Financing,3.4,LBN,3275.0
Tax Regulations,3.1,LBN,3283.0
Inadequately Educated Workforce,2.2,LBN,3278.0
Insufficient Capacity to Innovate,1.8,LBN,
Crime and Theft,1.3,LBN,3284.0
Foreign Currency Regulations,1.0,LBN,3285.0
Poor Public Health,0.8,LBN,3288.0
Access to Financing,31.6,LSO,3275.0
Corruption,23.2,LSO,3276.0
Government Instability/Coups,12.7,LSO,3286.0
Inadequate Supply of Infrastructure,12.0,LSO,3277.0
Inefficient Government Bureaucracy,7.3,LSO,3279.0
Policy Instability,5.3,LSO,3280.0
Insufficient Capacity to Innovate,3.2,LSO,
Crime and Theft,1.8,LSO,3284.0
Inadequately Educated Workforce,1.2,LSO,3278.0
Tax Rates,0.6,LSO,3282.0
Poor Work Ethic in Labor Force,0.6,LSO,3281.0
Tax Regulations,0.4,LSO,3283.0
Poor Public Health,0.1,LSO,3288.0
Restrictive Labor Regulations,0.0,LSO,3289.0
Inflation,0.0,LSO,3287.0
Foreign Currency Regulations,0.0,LSO,3285.0
Access to Financing,15.8,LBR,3275.0
Tax Rates,11.1,LBR,3282.0
Corruption,10.9,LBR,3276.0
Poor Work Ethic in Labor Force,10.8,LBR,3281.0
Inadequate Supply of Infrastructure,10.7,LBR,3277.0
Inadequately Educated Workforce,7.9,LBR,3278.0
Inefficient Government Bureaucracy,6.1,LBR,3279.0
Foreign Currency Regulations,5.4,LBR,3285.0
Crime and Theft,4.6,LBR,3284.0
Tax Regulations,4.4,LBR,3283.0
Inflation,4.4,LBR,3287.0
Poor Public Health,3.4,LBR,3288.0
Insufficient Capacity to Innovate,2.5,LBR,
Restrictive Labor Regulations,1.3,LBR,3289.0
Government Instability/Coups,0.5,LBR,3286.0
Policy Instability,0.1,LBR,3280.0
Tax Rates,17.6,LTU,3282.0
Inefficient Government Bureaucracy,15.6,LTU,3279.0
Restrictive Labor Regulations,13.2,LTU,3289.0
Tax Regulations,11.7,LTU,3283.0
Inadequately Educated Workforce,9.7,LTU,3278.0
Access to Financing,5.3,LTU,3275.0
Policy Instability,5.2,LTU,3280.0
Government Instability/Coups,4.7,LTU,3286.0
Corruption,4.6,LTU,3276.0
Insufficient Capacity to Innovate,3.7,LTU,
Poor Work Ethic in Labor Force,3.2,LTU,3281.0
Inadequate Supply of Infrastructure,2.6,LTU,3277.0
Inflation,1.6,LTU,3287.0
Poor Public Health,0.8,LTU,3288.0
Crime and Theft,0.3,LTU,3284.0
Foreign Currency Regulations,0.0,LTU,3285.0
Inadequately Educated Workforce,23.5,LUX,3278.0
Restrictive Labor Regulations,18.9,LUX,3289.0
Inefficient Government Bureaucracy,11.1,LUX,3279.0
Inadequate Supply of Infrastructure,9.8,LUX,3277.0
Insufficient Capacity to Innovate,8.7,LUX,
Tax Regulations,8.3,LUX,3283.0
Access to Financing,6.1,LUX,3275.0
Tax Rates,4.8,LUX,3282.0
Poor Work Ethic in Labor Force,3.9,LUX,3281.0
Inflation,3.9,LUX,3287.0
Corruption,0.9,LUX,3276.0
Foreign Currency Regulations,0.2,LUX,3285.0
Poor Public Health,0.0,LUX,3288.0
Policy Instability,0.0,LUX,3280.0
Government Instability/Coups,0.0,LUX,3286.0
Crime and Theft,0.0,LUX,3284.0
Government Instability/Coups,12.2,MDG,3286.0
Access to Financing,11.8,MDG,3275.0
Policy Instability,10.6,MDG,3280.0
Tax Rates,9.7,MDG,3282.0
Corruption,9.2,MDG,3276.0
Crime and Theft,7.2,MDG,3284.0
Inadequately Educated Workforce,6.6,MDG,3278.0
Inadequate Supply of Infrastructure,6.1,MDG,3277.0
Inflation,6.0,MDG,3287.0
Poor Work Ethic in Labor Force,5.4,MDG,3281.0
Tax Regulations,5.3,MDG,3283.0
Foreign Currency Regulations,3.0,MDG,3285.0
Restrictive Labor Regulations,2.6,MDG,3289.0
Insufficient Capacity to Innovate,2.4,MDG,
Poor Public Health,1.2,MDG,3288.0
Inefficient Government Bureaucracy,0.7,MDG,3279.0
Corruption,19.7,MWI,3276.0
Access to Financing,13.0,MWI,3275.0
Tax Rates,12.5,MWI,3282.0
Inflation,11.7,MWI,3287.0
Inadequate Supply of Infrastructure,8.4,MWI,3277.0
Inefficient Government Bureaucracy,7.8,MWI,3279.0
Policy Instability,7.0,MWI,3280.0
Inadequately Educated Workforce,4.7,MWI,3278.0
Poor Work Ethic in Labor Force,3.8,MWI,3281.0
Crime and Theft,3.8,MWI,3284.0
Foreign Currency Regulations,3.4,MWI,3285.0
Government Instability/Coups,1.6,MWI,3286.0
Insufficient Capacity to Innovate,1.3,MWI,
Tax Regulations,0.9,MWI,3283.0
Restrictive Labor Regulations,0.4,MWI,3289.0
Poor Public Health,0.2,MWI,3288.0
Access to Financing,12.5,MYS,3275.0
Foreign Currency Regulations,9.2,MYS,3285.0
Inefficient Government Bureaucracy,8.9,MYS,3279.0
Inflation,8.5,MYS,3287.0
Tax Rates,7.9,MYS,3282.0
Corruption,7.4,MYS,3276.0
Inadequately Educated Workforce,7.0,MYS,3278.0
Government Instability/Coups,6.4,MYS,3286.0
Poor Work Ethic in Labor Force,6.1,MYS,3281.0
Restrictive Labor Regulations,5.9,MYS,3289.0
Insufficient Capacity to Innovate,5.4,MYS,
Policy Instability,4.8,MYS,3280.0
Tax Regulations,4.5,MYS,3283.0
